Logging to /home/knagiredla/robonet/logs/exp_GSCA_10_flat_base_hopper_300_000_134_1729465432/policies
time_steps 114000
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
env.observation_space Box(-inf, inf, (57,), float64)
self.keys, shapes, dtypes [None] {None: (57,)} {None: dtype('float64')}
---------------------------------
| rollout/           |          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.92         |
|    ep_rew_mean          | 6.49         |
| time/                   |              |
|    fps                  | 954          |
|    iterations           | 7            |
|    time_elapsed         | 15           |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0005554148 |
|    clip_fraction        | 0.00215      |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.11        |
|    explained_variance   | 0.152        |
|    learning_rate        | 0.0001       |
|    loss                 | 5.06         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00192     |
|    std                  | 1            |
|    value_loss           | 10.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 8.13          |
|    ep_rew_mean          | 6.35          |
| time/                   |               |
|    fps                  | 949           |
|    iterations           | 8             |
|    time_elapsed         | 17            |
|    total_timesteps      | 16384         |
| train/                  |               |
|    approx_kl            | 0.00061106664 |
|    clip_fraction        | 0.00161       |
|    clip_range           | 0.1           |
|    entropy_loss         | -7.11         |
|    explained_variance   | 0.139         |
|    learning_rate        | 0.0001        |
|    loss                 | 5.45          |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.00231      |
|    std                  | 1             |
|    value_loss           | 11.5          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 9.01         |
|    ep_rew_mean          | 6.39         |
| time/                   |              |
|    fps                  | 946          |
|    iterations           | 9            |
|    time_elapsed         | 19           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0008442406 |
|    clip_fraction        | 0.00557      |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.165        |
|    learning_rate        | 0.0001       |
|    loss                 | 4.99         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00277     |
|    std                  | 1            |
|    value_loss           | 10.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 9.13         |
|    ep_rew_mean          | 6.56         |
| time/                   |              |
|    fps                  | 942          |
|    iterations           | 10           |
|    time_elapsed         | 21           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0012252755 |
|    clip_fraction        | 0.011        |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.25         |
|    learning_rate        | 0.0001       |
|    loss                 | 4.5          |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00297     |
|    std                  | 1.01         |
|    value_loss           | 9.53         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.51         |
|    ep_rew_mean          | 6.55         |
| time/                   |              |
|    fps                  | 940          |
|    iterations           | 11           |
|    time_elapsed         | 23           |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0013512262 |
|    clip_fraction        | 0.0169       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.251        |
|    learning_rate        | 0.0001       |
|    loss                 | 4.29         |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00306     |
|    std                  | 1.01         |
|    value_loss           | 9.07         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.93         |
|    ep_rew_mean          | 6.23         |
| time/                   |              |
|    fps                  | 938          |
|    iterations           | 12           |
|    time_elapsed         | 26           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0012202233 |
|    clip_fraction        | 0.0133       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.285        |
|    learning_rate        | 0.0001       |
|    loss                 | 4.14         |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00286     |
|    std                  | 1.01         |
|    value_loss           | 8.79         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 10           |
|    ep_rew_mean          | 7.02         |
| time/                   |              |
|    fps                  | 936          |
|    iterations           | 13           |
|    time_elapsed         | 28           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0016649829 |
|    clip_fraction        | 0.019        |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.295        |
|    learning_rate        | 0.0001       |
|    loss                 | 4.73         |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00387     |
|    std                  | 1.01         |
|    value_loss           | 9.94         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 10.1         |
|    ep_rew_mean          | 7.18         |
| time/                   |              |
|    fps                  | 934          |
|    iterations           | 14           |
|    time_elapsed         | 30           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0019549152 |
|    clip_fraction        | 0.0292       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.316        |
|    learning_rate        | 0.0001       |
|    loss                 | 4.87         |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.0043      |
|    std                  | 1.01         |
|    value_loss           | 10.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 9.66         |
|    ep_rew_mean          | 6.9          |
| time/                   |              |
|    fps                  | 933          |
|    iterations           | 15           |
|    time_elapsed         | 32           |
|    total_timesteps      | 30720        |
| train/                  |              |
|    approx_kl            | 0.0019395412 |
|    clip_fraction        | 0.0274       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.332        |
|    learning_rate        | 0.0001       |
|    loss                 | 5.99         |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00407     |
|    std                  | 1.01         |
|    value_loss           | 12.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 10.6         |
|    ep_rew_mean          | 7.32         |
| time/                   |              |
|    fps                  | 932          |
|    iterations           | 16           |
|    time_elapsed         | 35           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0021926856 |
|    clip_fraction        | 0.0365       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.432        |
|    learning_rate        | 0.0001       |
|    loss                 | 4.08         |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00402     |
|    std                  | 1.01         |
|    value_loss           | 8.7          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 10.6         |
|    ep_rew_mean          | 7.56         |
| time/                   |              |
|    fps                  | 931          |
|    iterations           | 17           |
|    time_elapsed         | 37           |
|    total_timesteps      | 34816        |
| train/                  |              |
|    approx_kl            | 0.0020542308 |
|    clip_fraction        | 0.0306       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.369        |
|    learning_rate        | 0.0001       |
|    loss                 | 5.41         |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00476     |
|    std                  | 1.01         |
|    value_loss           | 11.2         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 10.6       |
|    ep_rew_mean          | 7.8        |
| time/                   |            |
|    fps                  | 930        |
|    iterations           | 18         |
|    time_elapsed         | 39         |
|    total_timesteps      | 36864      |
| train/                  |            |
|    approx_kl            | 0.00237188 |
|    clip_fraction        | 0.0353     |
|    clip_range           | 0.1        |
|    entropy_loss         | -7.13      |
|    explained_variance   | 0.417      |
|    learning_rate        | 0.0001     |
|    loss                 | 5.89       |
|    n_updates            | 170        |
|    policy_gradient_loss | -0.00512   |
|    std                  | 1.01       |
|    value_loss           | 12.2       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 12           |
|    ep_rew_mean          | 7.93         |
| time/                   |              |
|    fps                  | 929          |
|    iterations           | 19           |
|    time_elapsed         | 41           |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0024691261 |
|    clip_fraction        | 0.0483       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.436        |
|    learning_rate        | 0.0001       |
|    loss                 | 6.04         |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00421     |
|    std                  | 1.01         |
|    value_loss           | 12.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 11.3         |
|    ep_rew_mean          | 8.71         |
| time/                   |              |
|    fps                  | 928          |
|    iterations           | 20           |
|    time_elapsed         | 44           |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0017243968 |
|    clip_fraction        | 0.0205       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.443        |
|    learning_rate        | 0.0001       |
|    loss                 | 6.14         |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00349     |
|    std                  | 1.01         |
|    value_loss           | 12.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13.3         |
|    ep_rew_mean          | 8.96         |
| time/                   |              |
|    fps                  | 927          |
|    iterations           | 21           |
|    time_elapsed         | 46           |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0016245599 |
|    clip_fraction        | 0.0188       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.455        |
|    learning_rate        | 0.0001       |
|    loss                 | 6.43         |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00356     |
|    std                  | 1.01         |
|    value_loss           | 13.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13.4         |
|    ep_rew_mean          | 8.71         |
| time/                   |              |
|    fps                  | 926          |
|    iterations           | 22           |
|    time_elapsed         | 48           |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0027377163 |
|    clip_fraction        | 0.0479       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.458        |
|    learning_rate        | 0.0001       |
|    loss                 | 6.57         |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00468     |
|    std                  | 1.01         |
|    value_loss           | 13.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14           |
|    ep_rew_mean          | 9.12         |
| time/                   |              |
|    fps                  | 926          |
|    iterations           | 23           |
|    time_elapsed         | 50           |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0021374163 |
|    clip_fraction        | 0.0298       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.446        |
|    learning_rate        | 0.0001       |
|    loss                 | 8.1          |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00405     |
|    std                  | 1.01         |
|    value_loss           | 16.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.1         |
|    ep_rew_mean          | 9.95         |
| time/                   |              |
|    fps                  | 925          |
|    iterations           | 24           |
|    time_elapsed         | 53           |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0037109344 |
|    clip_fraction        | 0.0734       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.457        |
|    learning_rate        | 0.0001       |
|    loss                 | 6.72         |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00577     |
|    std                  | 1.01         |
|    value_loss           | 13.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.5         |
|    ep_rew_mean          | 9.51         |
| time/                   |              |
|    fps                  | 924          |
|    iterations           | 25           |
|    time_elapsed         | 55           |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0021455295 |
|    clip_fraction        | 0.035        |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.415        |
|    learning_rate        | 0.0001       |
|    loss                 | 8.94         |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00389     |
|    std                  | 1.01         |
|    value_loss           | 18.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.7         |
|    ep_rew_mean          | 10.6         |
| time/                   |              |
|    fps                  | 923          |
|    iterations           | 26           |
|    time_elapsed         | 57           |
|    total_timesteps      | 53248        |
| train/                  |              |
|    approx_kl            | 0.0022086632 |
|    clip_fraction        | 0.034        |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.5          |
|    learning_rate        | 0.0001       |
|    loss                 | 7.43         |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00376     |
|    std                  | 1.01         |
|    value_loss           | 15.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.8         |
|    ep_rew_mean          | 11.5         |
| time/                   |              |
|    fps                  | 923          |
|    iterations           | 27           |
|    time_elapsed         | 59           |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0018634583 |
|    clip_fraction        | 0.0232       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.372        |
|    learning_rate        | 0.0001       |
|    loss                 | 10.8         |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00398     |
|    std                  | 1.01         |
|    value_loss           | 22.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 19.9         |
|    ep_rew_mean          | 13.6         |
| time/                   |              |
|    fps                  | 922          |
|    iterations           | 28           |
|    time_elapsed         | 62           |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0020857356 |
|    clip_fraction        | 0.0301       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.397        |
|    learning_rate        | 0.0001       |
|    loss                 | 10.2         |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.00381     |
|    std                  | 1.01         |
|    value_loss           | 21.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18           |
|    ep_rew_mean          | 11.5         |
| time/                   |              |
|    fps                  | 921          |
|    iterations           | 29           |
|    time_elapsed         | 64           |
|    total_timesteps      | 59392        |
| train/                  |              |
|    approx_kl            | 0.0024564078 |
|    clip_fraction        | 0.0384       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.369        |
|    learning_rate        | 0.0001       |
|    loss                 | 11.7         |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00477     |
|    std                  | 1.01         |
|    value_loss           | 24.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.9         |
|    ep_rew_mean          | 12.4         |
| time/                   |              |
|    fps                  | 921          |
|    iterations           | 30           |
|    time_elapsed         | 66           |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0029805154 |
|    clip_fraction        | 0.0505       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.43         |
|    learning_rate        | 0.0001       |
|    loss                 | 9.4          |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00468     |
|    std                  | 1.01         |
|    value_loss           | 19.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 19.8         |
|    ep_rew_mean          | 13.2         |
| time/                   |              |
|    fps                  | 920          |
|    iterations           | 31           |
|    time_elapsed         | 68           |
|    total_timesteps      | 63488        |
| train/                  |              |
|    approx_kl            | 0.0017525413 |
|    clip_fraction        | 0.0229       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.433        |
|    learning_rate        | 0.0001       |
|    loss                 | 9.81         |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00285     |
|    std                  | 1.01         |
|    value_loss           | 20.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20.6         |
|    ep_rew_mean          | 13.8         |
| time/                   |              |
|    fps                  | 919          |
|    iterations           | 32           |
|    time_elapsed         | 71           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0016706594 |
|    clip_fraction        | 0.027        |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.13        |
|    explained_variance   | 0.321        |
|    learning_rate        | 0.0001       |
|    loss                 | 12.2         |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00281     |
|    std                  | 1.01         |
|    value_loss           | 25.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 26.2         |
|    ep_rew_mean          | 16.6         |
| time/                   |              |
|    fps                  | 918          |
|    iterations           | 33           |
|    time_elapsed         | 73           |
|    total_timesteps      | 67584        |
| train/                  |              |
|    approx_kl            | 0.0022029793 |
|    clip_fraction        | 0.0308       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.377        |
|    learning_rate        | 0.0001       |
|    loss                 | 12.3         |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00338     |
|    std                  | 1.01         |
|    value_loss           | 25.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 30.1         |
|    ep_rew_mean          | 18.8         |
| time/                   |              |
|    fps                  | 918          |
|    iterations           | 34           |
|    time_elapsed         | 75           |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0025124203 |
|    clip_fraction        | 0.0398       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.324        |
|    learning_rate        | 0.0001       |
|    loss                 | 12.2         |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00386     |
|    std                  | 1.01         |
|    value_loss           | 25.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 30.8         |
|    ep_rew_mean          | 19.5         |
| time/                   |              |
|    fps                  | 917          |
|    iterations           | 35           |
|    time_elapsed         | 78           |
|    total_timesteps      | 71680        |
| train/                  |              |
|    approx_kl            | 0.0020258436 |
|    clip_fraction        | 0.0305       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.253        |
|    learning_rate        | 0.0001       |
|    loss                 | 12.5         |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00347     |
|    std                  | 1.01         |
|    value_loss           | 26.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 33.3         |
|    ep_rew_mean          | 19.8         |
| time/                   |              |
|    fps                  | 916          |
|    iterations           | 36           |
|    time_elapsed         | 80           |
|    total_timesteps      | 73728        |
| train/                  |              |
|    approx_kl            | 0.0024811083 |
|    clip_fraction        | 0.0361       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.212        |
|    learning_rate        | 0.0001       |
|    loss                 | 14.8         |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00471     |
|    std                  | 1.01         |
|    value_loss           | 30.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40           |
|    ep_rew_mean          | 23.1         |
| time/                   |              |
|    fps                  | 915          |
|    iterations           | 37           |
|    time_elapsed         | 82           |
|    total_timesteps      | 75776        |
| train/                  |              |
|    approx_kl            | 0.0025506245 |
|    clip_fraction        | 0.043        |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.225        |
|    learning_rate        | 0.0001       |
|    loss                 | 13.6         |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.0034      |
|    std                  | 1.01         |
|    value_loss           | 28.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 45.6         |
|    ep_rew_mean          | 25.7         |
| time/                   |              |
|    fps                  | 914          |
|    iterations           | 38           |
|    time_elapsed         | 85           |
|    total_timesteps      | 77824        |
| train/                  |              |
|    approx_kl            | 0.0009767024 |
|    clip_fraction        | 0.00718      |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.222        |
|    learning_rate        | 0.0001       |
|    loss                 | 15.3         |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.0025      |
|    std                  | 1.01         |
|    value_loss           | 32.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.7        |
|    ep_rew_mean          | 29.6        |
| time/                   |             |
|    fps                  | 913         |
|    iterations           | 39          |
|    time_elapsed         | 87          |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.001224224 |
|    clip_fraction        | 0.0108      |
|    clip_range           | 0.1         |
|    entropy_loss         | -7.12       |
|    explained_variance   | 0.154       |
|    learning_rate        | 0.0001      |
|    loss                 | 15.5        |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00236    |
|    std                  | 1           |
|    value_loss           | 32.5        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 60.9         |
|    ep_rew_mean          | 33           |
| time/                   |              |
|    fps                  | 912          |
|    iterations           | 40           |
|    time_elapsed         | 89           |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0008592998 |
|    clip_fraction        | 0.0041       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.227        |
|    learning_rate        | 0.0001       |
|    loss                 | 14.3         |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00186     |
|    std                  | 1            |
|    value_loss           | 30.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 63.8         |
|    ep_rew_mean          | 35.1         |
| time/                   |              |
|    fps                  | 911          |
|    iterations           | 41           |
|    time_elapsed         | 92           |
|    total_timesteps      | 83968        |
| train/                  |              |
|    approx_kl            | 0.0014226665 |
|    clip_fraction        | 0.0148       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.139        |
|    learning_rate        | 0.0001       |
|    loss                 | 16.9         |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00301     |
|    std                  | 1            |
|    value_loss           | 35.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 72.6         |
|    ep_rew_mean          | 40           |
| time/                   |              |
|    fps                  | 911          |
|    iterations           | 42           |
|    time_elapsed         | 94           |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0015235979 |
|    clip_fraction        | 0.0164       |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.143        |
|    learning_rate        | 0.0001       |
|    loss                 | 19           |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00269     |
|    std                  | 1            |
|    value_loss           | 39.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 83.7         |
|    ep_rew_mean          | 45.3         |
| time/                   |              |
|    fps                  | 910          |
|    iterations           | 43           |
|    time_elapsed         | 96           |
|    total_timesteps      | 88064        |
| train/                  |              |
|    approx_kl            | 0.0011813341 |
|    clip_fraction        | 0.00869      |
|    clip_range           | 0.1          |
|    entropy_loss         | -7.12        |
|    explained_variance   | 0.0984       |
|    learning_rate        | 0.0001       |
|    loss                 | 17.1         |
|    n_updates            | 420          |
|    policy_gradient_loss | -0.00228     |
|    std                  | 1            |
|    value_loss           | 35.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 96.5        |
|    ep_rew_mean          | 51.4        |
| time/                   |             |
|    fps                  | 909         |
|    iterations           | 44          |
|    time_elapsed         | 99          |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.001028302 |
|    clip_fraction        | 0.00542     |
|    clip_range           | 0.1         |
|    entropy_loss         | -7.12       |
|    explained_variance   | 0.0818      |
|    learning_rate        | 0.0001      |
|    loss                 | 15.8        |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.00213    |
|    std                  | 1           |
|    value_loss           | 33.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 113          |
|    ep_rew_mean          | 59.1         |
| time/                   |              |
|    fps                  | 908          |
|    iterations           | 45           |
|    time_elapsed         | 101          |
